reviewer,article,content,sugestion,decision
Andrzej Omieljanowicz,What can software engineers learn from manufacturing to improve software process and product?,content review,some sugestion,accepted
Robert Finger,What can software engineers learn from manufacturing to improve software process and product?,content review,some sugestion,not accepted
Cynthia Jane Solomon,Existence of 2m-1 Positive Solutions for Sturm-Liouville Boundary Value Problems with Linear Functional Boundary Conditions on the Half-Line.,content review,some sugestion,accepted
Chaojiang Wu,Existence of 2m-1 Positive Solutions for Sturm-Liouville Boundary Value Problems with Linear Functional Boundary Conditions on the Half-Line.,content review,some sugestion,accepted
Andrew J. Hinchley,Existence of 2m-1 Positive Solutions for Sturm-Liouville Boundary Value Problems with Linear Functional Boundary Conditions on the Half-Line.,content review,some sugestion,not accepted
Erik Meineche Schmidt,The First Summer School on Ubiquitous and Pervasive Computing.,content review,some sugestion,accepted
Anita Schöbel,The First Summer School on Ubiquitous and Pervasive Computing.,content review,some sugestion,accepted
C. G. Parthipan,The First Summer School on Ubiquitous and Pervasive Computing.,content review,some sugestion,not accepted
Vera Tilson,Exploiting GSM short message service for ubiquitous accessing.,content review,some sugestion,accepted
Erik Meineche Schmidt,Exploiting GSM short message service for ubiquitous accessing.,content review,some sugestion,accepted
Daniel Troy,Exploiting GSM short message service for ubiquitous accessing.,content review,some sugestion,not accepted
Jiang Ma,Energy Efficient Reservation-Based Cluster Head Selection in WSNs.,content review,some sugestion,accepted
Amir Shmuel,Energy Efficient Reservation-Based Cluster Head Selection in WSNs.,content review,some sugestion,accepted
Daniel Troy,Energy Efficient Reservation-Based Cluster Head Selection in WSNs.,content review,some sugestion,not accepted
Constant Solimando,QPRD: QoS-Aware Peering Routing Protocol for Delay-Sensitive Data in Hospital Body Area Network.,content review,some sugestion,accepted
Anton Schiela,QPRD: QoS-Aware Peering Routing Protocol for Delay-Sensitive Data in Hospital Body Area Network.,content review,some sugestion,accepted
Adel El-Faraskoury,QPRD: QoS-Aware Peering Routing Protocol for Delay-Sensitive Data in Hospital Body Area Network.,content review,some sugestion,not accepted
Adel El-Faraskoury,Accounting for Dynamic Diversity Among Child Users of IoT.,content review,some sugestion,accepted
David Alan Grier,Accounting for Dynamic Diversity Among Child Users of IoT.,content review,some sugestion,accepted
David Perry,Accounting for Dynamic Diversity Among Child Users of IoT.,content review,some sugestion,not accepted
Hai-Wei Sun,A ZVS APWM Half-Bridge Parallel Resonant DC-DC Converter With Capacitive Output.,content review,some sugestion,accepted
Oliver Marschollek,A ZVS APWM Half-Bridge Parallel Resonant DC-DC Converter With Capacitive Output.,content review,some sugestion,accepted
Arun Mittal,A ZVS APWM Half-Bridge Parallel Resonant DC-DC Converter With Capacitive Output.,content review,some sugestion,not accepted
Dok Nam Lee,Unique Normal Form and the Associated Coefficients for a Class of Three-Dimensional Nilpotent Vector Fields.,content review,some sugestion,accepted
Dariusz Fabianowski,Unique Normal Form and the Associated Coefficients for a Class of Three-Dimensional Nilpotent Vector Fields.,content review,some sugestion,accepted
K. R. Ramakrishnan,Unique Normal Form and the Associated Coefficients for a Class of Three-Dimensional Nilpotent Vector Fields.,content review,some sugestion,not accepted
Huijun Wu,Distance Transformation for Network Design Problems.,content review,some sugestion,accepted
David Perry,Distance Transformation for Network Design Problems.,content review,some sugestion,accepted
Arthur J. Davidson,Distance Transformation for Network Design Problems.,content review,some sugestion,not accepted
Astrid Tannert,Tighter constant-factor time hierarchies.,content review,some sugestion,accepted
M. I. Cohen,Tighter constant-factor time hierarchies.,content review,some sugestion,accepted
Erik Meineche Schmidt,Tighter constant-factor time hierarchies.,content review,some sugestion,not accepted
Moulay A. Barkatou,An Instructional Feedback Technique for Teaching Project Management Tools Aligned with PMBOK.,content review,some sugestion,accepted
Heike Siebert,An Instructional Feedback Technique for Teaching Project Management Tools Aligned with PMBOK.,content review,some sugestion,accepted
Dinesh Manocha,An Instructional Feedback Technique for Teaching Project Management Tools Aligned with PMBOK.,content review,some sugestion,not accepted
Amaro de Sousa,Annotating and modeling empathy in spoken conversations.,content review,some sugestion,accepted
Arturo Molina 0001,Annotating and modeling empathy in spoken conversations.,content review,some sugestion,accepted
Keecheon Kim,Annotating and modeling empathy in spoken conversations.,content review,some sugestion,not accepted
Danni Zhu,A fully integrated feedback AGC loop for ZigBee (IEEE 802.15.4) RF transceiver applications.,content review,some sugestion,accepted
Gabriel M. Silberman,A fully integrated feedback AGC loop for ZigBee (IEEE 802.15.4) RF transceiver applications.,content review,some sugestion,accepted
Laurent Chupin,A fully integrated feedback AGC loop for ZigBee (IEEE 802.15.4) RF transceiver applications.,content review,some sugestion,not accepted
Fabian Rothmaier,A large-scale empirical study of P3P privacy policies: Stated actions vs. legal obligations.,content review,some sugestion,accepted
M. I. Cohen,A large-scale empirical study of P3P privacy policies: Stated actions vs. legal obligations.,content review,some sugestion,accepted
Arthur J. Davidson,A large-scale empirical study of P3P privacy policies: Stated actions vs. legal obligations.,content review,some sugestion,not accepted
Hady Pranoto,An Efficient Hyperspectral Image Retrieval Method: Deep Spectral-Spatial Feature Extraction with DCGAN and Dimensionality Reduction Using ,content review,some sugestion,accepted
Duyan Bi,An Efficient Hyperspectral Image Retrieval Method: Deep Spectral-Spatial Feature Extraction with DCGAN and Dimensionality Reduction Using ,content review,some sugestion,accepted
Haowei Xu,An Efficient Hyperspectral Image Retrieval Method: Deep Spectral-Spatial Feature Extraction with DCGAN and Dimensionality Reduction Using ,content review,some sugestion,not accepted
André Raspaud,G-stack modulated probe intensities on expression arrays - sequence corrections and signal calibration.,content review,some sugestion,accepted
Fabio Nobile,G-stack modulated probe intensities on expression arrays - sequence corrections and signal calibration.,content review,some sugestion,accepted
Huiqin Xie,G-stack modulated probe intensities on expression arrays - sequence corrections and signal calibration.,content review,some sugestion,not accepted
Amir Bozorgzadeh,Accelerating Density Peak Clustering Algorithm.,content review,some sugestion,accepted
Theodore Hailperin,Accelerating Density Peak Clustering Algorithm.,content review,some sugestion,accepted
Amir Shmuel,Accelerating Density Peak Clustering Algorithm.,content review,some sugestion,not accepted
Andrzej Omieljanowicz,Automatic scaling range selection for long-range dependent network traffic.,content review,some sugestion,accepted
Daniela Guaiana,Automatic scaling range selection for long-range dependent network traffic.,content review,some sugestion,accepted
Ilan Abramovici,Automatic scaling range selection for long-range dependent network traffic.,content review,some sugestion,not accepted
Chia-Lung Yeh,Enhanced Marathi Speech Recognition Facilitated by Grasshopper Optimisation-Based Recurrent Neural Network.,content review,some sugestion,accepted
David Dagan Feng,Enhanced Marathi Speech Recognition Facilitated by Grasshopper Optimisation-Based Recurrent Neural Network.,content review,some sugestion,accepted
E. A. Mary Anita,Enhanced Marathi Speech Recognition Facilitated by Grasshopper Optimisation-Based Recurrent Neural Network.,content review,some sugestion,not accepted
David T. Wong,Reports on the AAAI 1999 Workshop Program.,content review,some sugestion,accepted
Chi-Wang Shu,Reports on the AAAI 1999 Workshop Program.,content review,some sugestion,accepted
Robert Finger,Reports on the AAAI 1999 Workshop Program.,content review,some sugestion,not accepted
Arvind Ramanathan,Organisation innovation and entrepreneurship: the role of the national laboratories in promoting industrial development.,content review,some sugestion,accepted
Akira Suzuki,Organisation innovation and entrepreneurship: the role of the national laboratories in promoting industrial development.,content review,some sugestion,accepted
C. G. Parthipan,Organisation innovation and entrepreneurship: the role of the national laboratories in promoting industrial development.,content review,some sugestion,not accepted
Jan Camenisch,Towards predictable wireless cyber-physical applications.,content review,some sugestion,accepted
Amaro de Sousa,Towards predictable wireless cyber-physical applications.,content review,some sugestion,accepted
Kwok-Kai Soo,Towards predictable wireless cyber-physical applications.,content review,some sugestion,not accepted
Chih-Yuan Yao,Productive Use of Failure in Inductive Proof.,content review,some sugestion,accepted
David Alan Grier,Productive Use of Failure in Inductive Proof.,content review,some sugestion,accepted
Ahmed M. Mohamed,Productive Use of Failure in Inductive Proof.,content review,some sugestion,not accepted
Fabian Rothmaier,An Intelligent Integrated Approach for Efficient Demand Side Management With Forecaster and Advanced Metering Infrastructure Frameworks in Smart Grid.,content review,some sugestion,accepted
Cynthia Jane Solomon,An Intelligent Integrated Approach for Efficient Demand Side Management With Forecaster and Advanced Metering Infrastructure Frameworks in Smart Grid.,content review,some sugestion,accepted
Chaojiang Wu,An Intelligent Integrated Approach for Efficient Demand Side Management With Forecaster and Advanced Metering Infrastructure Frameworks in Smart Grid.,content review,some sugestion,not accepted
Bettina Klaus,To swim or not to swim: A population-level model of Xenopus tadpole decision making and locomotor behaviour.,content review,some sugestion,accepted
Aku Riihelä,To swim or not to swim: A population-level model of Xenopus tadpole decision making and locomotor behaviour.,content review,some sugestion,accepted
Karl-Heinz Best,To swim or not to swim: A population-level model of Xenopus tadpole decision making and locomotor behaviour.,content review,some sugestion,not accepted
Vera Tilson,Human Activity Recognition on Microcontrollers with Quantized and Adaptive Deep Neural Networks.,content review,some sugestion,accepted
Theodore Hailperin,Human Activity Recognition on Microcontrollers with Quantized and Adaptive Deep Neural Networks.,content review,some sugestion,accepted
Hen-Wai Tsao,Human Activity Recognition on Microcontrollers with Quantized and Adaptive Deep Neural Networks.,content review,some sugestion,not accepted
Norman F. Schneidewind,A fast seed detection using local geometrical feature for automatic tracking of coronary arteries in CTA.,content review,some sugestion,accepted
Karl-Heinz Best,A fast seed detection using local geometrical feature for automatic tracking of coronary arteries in CTA.,content review,some sugestion,accepted
David Perry,A fast seed detection using local geometrical feature for automatic tracking of coronary arteries in CTA.,content review,some sugestion,not accepted
Anton Schiela,Modelling Site Index in Forest Stands Using Airborne Hyperspectral Imagery and Bi-Temporal Laser Scanner Data.,content review,some sugestion,accepted
Andrew J. Hinchley,Modelling Site Index in Forest Stands Using Airborne Hyperspectral Imagery and Bi-Temporal Laser Scanner Data.,content review,some sugestion,accepted
David Alan Grier,Modelling Site Index in Forest Stands Using Airborne Hyperspectral Imagery and Bi-Temporal Laser Scanner Data.,content review,some sugestion,not accepted
Qiqi Wang,A review on manipulation skill acquisition through teleoperation-based learning from demonstration.,content review,some sugestion,accepted
Babak Farzad,A review on manipulation skill acquisition through teleoperation-based learning from demonstration.,content review,some sugestion,accepted
Di Li 0003,A review on manipulation skill acquisition through teleoperation-based learning from demonstration.,content review,some sugestion,not accepted
Qiqi Wang,Fine-Grained Visual-Textual Representation Learning.,content review,some sugestion,accepted
Guangyuan Pan,Fine-Grained Visual-Textual Representation Learning.,content review,some sugestion,accepted
Hermano Frid,Fine-Grained Visual-Textual Representation Learning.,content review,some sugestion,not accepted
Dariusz Fabianowski,Realtime Simulation of Thin-Shell Deformable Materials Using CNN-Based Mesh Embedding.,content review,some sugestion,accepted
Hady Pranoto,Realtime Simulation of Thin-Shell Deformable Materials Using CNN-Based Mesh Embedding.,content review,some sugestion,accepted
Anton Schiela,Realtime Simulation of Thin-Shell Deformable Materials Using CNN-Based Mesh Embedding.,content review,some sugestion,not accepted
Hady Pranoto,Research on Sieving Performance of Flip-Flow Screen Using Two-Way Particles-Screen Panels Coupling Strategy.,content review,some sugestion,accepted
Keecheon Kim,Research on Sieving Performance of Flip-Flow Screen Using Two-Way Particles-Screen Panels Coupling Strategy.,content review,some sugestion,accepted
Diogo Poças,Research on Sieving Performance of Flip-Flow Screen Using Two-Way Particles-Screen Panels Coupling Strategy.,content review,some sugestion,not accepted
Chia-Lung Yeh,Supposed maximum information for comprehensible representations in SOM.,content review,some sugestion,accepted
Renbiao Wu,Supposed maximum information for comprehensible representations in SOM.,content review,some sugestion,accepted
Arturo Molina 0001,Supposed maximum information for comprehensible representations in SOM.,content review,some sugestion,not accepted
S. Twomey,Basic Difference Between Brain and Computer: Integration of Asynchronous Processes Implemented as Hardware Model of the Retina.,content review,some sugestion,accepted
Naohisa Komatsu,Basic Difference Between Brain and Computer: Integration of Asynchronous Processes Implemented as Hardware Model of the Retina.,content review,some sugestion,accepted
Gabriel M. Silberman,Basic Difference Between Brain and Computer: Integration of Asynchronous Processes Implemented as Hardware Model of the Retina.,content review,some sugestion,not accepted
Chih-Yuan Yao,Implementation of Machine Learning for Autonomic Capabilities in Self-Organizing Heterogeneous Networks.,content review,some sugestion,accepted
N. C. Simpson,Implementation of Machine Learning for Autonomic Capabilities in Self-Organizing Heterogeneous Networks.,content review,some sugestion,accepted
Roy Edgar Hansen,Implementation of Machine Learning for Autonomic Capabilities in Self-Organizing Heterogeneous Networks.,content review,some sugestion,not accepted
Chia-Lung Yeh,Multichannel bandwidth allocation in a broadband packet switch.,content review,some sugestion,accepted
Constant Solimando,Multichannel bandwidth allocation in a broadband packet switch.,content review,some sugestion,accepted
Dinesh Manocha,Multichannel bandwidth allocation in a broadband packet switch.,content review,some sugestion,not accepted
M. I. Cohen,On the Role of Land Surface Temperature as Proxy of Soil Moisture Status for Drought Monitoring in Europe.,content review,some sugestion,accepted
Andrzej Omieljanowicz,On the Role of Land Surface Temperature as Proxy of Soil Moisture Status for Drought Monitoring in Europe.,content review,some sugestion,accepted
Hermano Frid,On the Role of Land Surface Temperature as Proxy of Soil Moisture Status for Drought Monitoring in Europe.,content review,some sugestion,not accepted
Hidehisa Yoshida,"Sharing, Liking, Commenting, and Distressed? The Pathway Between Facebook Interaction and Psychological Distress.",content review,some sugestion,accepted
Moulay A. Barkatou,"Sharing, Liking, Commenting, and Distressed? The Pathway Between Facebook Interaction and Psychological Distress.",content review,some sugestion,accepted
David T. Wong,"Sharing, Liking, Commenting, and Distressed? The Pathway Between Facebook Interaction and Psychological Distress.",content review,some sugestion,not accepted
Danni Zhu,On Recovery of Sparse Signals With Prior Support Information via Weighted ℓₚ-Minimization.,content review,some sugestion,accepted
Jiaqi Zhang 0001,On Recovery of Sparse Signals With Prior Support Information via Weighted ℓₚ-Minimization.,content review,some sugestion,accepted
Daniel Troy,On Recovery of Sparse Signals With Prior Support Information via Weighted ℓₚ-Minimization.,content review,some sugestion,not accepted
E. Lerzan Örmeci,Internal Model Control of Permanent Magnet Synchronous Motor Using Support Vector Machine Generalized Inverse.,content review,some sugestion,accepted
Ilan Abramovici,Internal Model Control of Permanent Magnet Synchronous Motor Using Support Vector Machine Generalized Inverse.,content review,some sugestion,accepted
Daniel Troy,Internal Model Control of Permanent Magnet Synchronous Motor Using Support Vector Machine Generalized Inverse.,content review,some sugestion,not accepted
Theodosios Pavlidis,Parameter-Free Attention in fMRI Decoding.,content review,some sugestion,accepted
Guangyuan Pan,Parameter-Free Attention in fMRI Decoding.,content review,some sugestion,accepted
Astrid Tannert,Parameter-Free Attention in fMRI Decoding.,content review,some sugestion,not accepted
Robert Finger,The user of the future: Reimagining how we think about information.,content review,some sugestion,accepted
Le Deng,The user of the future: Reimagining how we think about information.,content review,some sugestion,accepted
David Alan Grier,The user of the future: Reimagining how we think about information.,content review,some sugestion,not accepted
Le Deng,Enabling data science in the Gaia mission archive: The present-day mass function and age distribution.,content review,some sugestion,accepted
E. A. Mary Anita,Enabling data science in the Gaia mission archive: The present-day mass function and age distribution.,content review,some sugestion,accepted
Theodosios Pavlidis,Enabling data science in the Gaia mission archive: The present-day mass function and age distribution.,content review,some sugestion,not accepted
E. A. Mary Anita,A survey of transformer-based multimodal pre-trained modals.,content review,some sugestion,accepted
André Raspaud,A survey of transformer-based multimodal pre-trained modals.,content review,some sugestion,accepted
Mazen O. Hasna,A survey of transformer-based multimodal pre-trained modals.,content review,some sugestion,not accepted
Abbas Heydari,A mixed mimetic spectral element model of the rotating shallow water equations on the cubed sphere.,content review,some sugestion,accepted
Babak Farzad,A mixed mimetic spectral element model of the rotating shallow water equations on the cubed sphere.,content review,some sugestion,accepted
David Perry,A mixed mimetic spectral element model of the rotating shallow water equations on the cubed sphere.,content review,some sugestion,not accepted
Ahmed M. Mohamed,Coordinating Programs in the Network of Tasks Model.,content review,some sugestion,accepted
Dinesh Manocha,Coordinating Programs in the Network of Tasks Model.,content review,some sugestion,accepted
Erik Meineche Schmidt,Coordinating Programs in the Network of Tasks Model.,content review,some sugestion,not accepted
Arun Mittal,On multiserver feedback retrial queues with balking and control retrial rate.,content review,some sugestion,accepted
Aku Riihelä,On multiserver feedback retrial queues with balking and control retrial rate.,content review,some sugestion,accepted
Renbiao Wu,On multiserver feedback retrial queues with balking and control retrial rate.,content review,some sugestion,not accepted
Louise A. Mawn,Approximability in the GPAC.,content review,some sugestion,accepted
Danni Zhu,Approximability in the GPAC.,content review,some sugestion,accepted
John T. Fredricksen,Approximability in the GPAC.,content review,some sugestion,not accepted
Astrid Tannert,"Analysis of bulk queue with unreliable service station, second optional repair, N-policy multiple vacation, loss and immediate feedback in production system.",content review,some sugestion,accepted
Huijun Wu,"Analysis of bulk queue with unreliable service station, second optional repair, N-policy multiple vacation, loss and immediate feedback in production system.",content review,some sugestion,accepted
Abbas Heydari,"Analysis of bulk queue with unreliable service station, second optional repair, N-policy multiple vacation, loss and immediate feedback in production system.",content review,some sugestion,not accepted
Alper Korkmaz,Enhancing Information Retrieval Through Statistical Natural Language Processing: A Study of Collocation Indexing.,content review,some sugestion,accepted
Keecheon Kim,Enhancing Information Retrieval Through Statistical Natural Language Processing: A Study of Collocation Indexing.,content review,some sugestion,accepted
Christopher I. Amos,Enhancing Information Retrieval Through Statistical Natural Language Processing: A Study of Collocation Indexing.,content review,some sugestion,not accepted
Akira Suzuki,Mass Segmentation in Automated 3-D Breast Ultrasound Using Adaptive Region Growing and Supervised Edge-Based Deformable Model.,content review,some sugestion,accepted
Wirt Atmar,Mass Segmentation in Automated 3-D Breast Ultrasound Using Adaptive Region Growing and Supervised Edge-Based Deformable Model.,content review,some sugestion,accepted
Hidehisa Yoshida,Mass Segmentation in Automated 3-D Breast Ultrasound Using Adaptive Region Growing and Supervised Edge-Based Deformable Model.,content review,some sugestion,not accepted
Daniela Guaiana,Knowledge Management Research Initiatives in North America.,content review,some sugestion,accepted
Björn Berghausen,Knowledge Management Research Initiatives in North America.,content review,some sugestion,accepted
Keecheon Kim,Knowledge Management Research Initiatives in North America.,content review,some sugestion,not accepted
Babak Farzad,Sensitive Functions and Approximate Problems.,content review,some sugestion,accepted
Haowei Xu,Sensitive Functions and Approximate Problems.,content review,some sugestion,accepted
Osama Rashed Sayed,Sensitive Functions and Approximate Problems.,content review,some sugestion,not accepted
Akira Suzuki,Geometrical Bounds for Variance and Recentered Moments.,content review,some sugestion,accepted
S. Twomey,Geometrical Bounds for Variance and Recentered Moments.,content review,some sugestion,accepted
Heike Siebert,Geometrical Bounds for Variance and Recentered Moments.,content review,some sugestion,not accepted
Heike Siebert,Algorithm 300: Coulomb wave functions.,content review,some sugestion,accepted
David T. Wong,Algorithm 300: Coulomb wave functions.,content review,some sugestion,accepted
Lukasz Maksymiuk,Algorithm 300: Coulomb wave functions.,content review,some sugestion,not accepted
David Perry,"Second-sourcing CPUs - Emulation, Ethics, And Electropolitics.",content review,some sugestion,accepted
Alper Korkmaz,"Second-sourcing CPUs - Emulation, Ethics, And Electropolitics.",content review,some sugestion,accepted
Andrew J. Hinchley,"Second-sourcing CPUs - Emulation, Ethics, And Electropolitics.",content review,some sugestion,not accepted
David Perry,Assessment of changes in urban green spaces of Mashad city using satellite data.,content review,some sugestion,accepted
Christopher I. Amos,Assessment of changes in urban green spaces of Mashad city using satellite data.,content review,some sugestion,accepted
Dinesh Manocha,Assessment of changes in urban green spaces of Mashad city using satellite data.,content review,some sugestion,not accepted
Jan Camenisch,Improved likelihood ratio test based voice activity detector applied to speech recognition.,content review,some sugestion,accepted
Abbas Heydari,Improved likelihood ratio test based voice activity detector applied to speech recognition.,content review,some sugestion,accepted
E. Lerzan Örmeci,Improved likelihood ratio test based voice activity detector applied to speech recognition.,content review,some sugestion,not accepted
Luca Schenato 0001,Explicit Runge-Kutta Methods Combined with Advanced Versions of the Richardson Extrapolation.,content review,some sugestion,accepted
Hen-Wai Tsao,Explicit Runge-Kutta Methods Combined with Advanced Versions of the Richardson Extrapolation.,content review,some sugestion,accepted
E. A. Mary Anita,Explicit Runge-Kutta Methods Combined with Advanced Versions of the Richardson Extrapolation.,content review,some sugestion,not accepted
Moulay A. Barkatou,A novel artificial neural network method for biomedical prediction based on matrix pseudo-inversion.,content review,some sugestion,accepted
Karl-Heinz Best,A novel artificial neural network method for biomedical prediction based on matrix pseudo-inversion.,content review,some sugestion,accepted
Huiqin Xie,A novel artificial neural network method for biomedical prediction based on matrix pseudo-inversion.,content review,some sugestion,not accepted
Dariusz Fabianowski,Improved Speech Enhancement Considering Speech PSD Uncertainty.,content review,some sugestion,accepted
Jan Camenisch,Improved Speech Enhancement Considering Speech PSD Uncertainty.,content review,some sugestion,accepted
Oliver Marschollek,Improved Speech Enhancement Considering Speech PSD Uncertainty.,content review,some sugestion,not accepted
Adel El-Faraskoury,"Information Society: Analyzing Problems and Prospects of Using Information Technologies, Computers and Communication Networks.",content review,some sugestion,accepted
Gabriel M. Silberman,"Information Society: Analyzing Problems and Prospects of Using Information Technologies, Computers and Communication Networks.",content review,some sugestion,accepted
Dariusz Fabianowski,"Information Society: Analyzing Problems and Prospects of Using Information Technologies, Computers and Communication Networks.",content review,some sugestion,not accepted
Karl-Heinz Best,An integrated model to evaluate water-energy-food nexus at a household scale.,content review,some sugestion,accepted
Björn Berghausen,An integrated model to evaluate water-energy-food nexus at a household scale.,content review,some sugestion,accepted
Luca Schenato 0001,An integrated model to evaluate water-energy-food nexus at a household scale.,content review,some sugestion,not accepted
Kwok-Kai Soo,A Quantum-Proof Non-Malleable Extractor With Application to Privacy Amplification against Active Quantum Adversaries.,content review,some sugestion,accepted
Dan Suciu,A Quantum-Proof Non-Malleable Extractor With Application to Privacy Amplification against Active Quantum Adversaries.,content review,some sugestion,accepted
Adriano Meta,A Quantum-Proof Non-Malleable Extractor With Application to Privacy Amplification against Active Quantum Adversaries.,content review,some sugestion,not accepted
Ahmed M. Mohamed,Fault-tolerant aggregation: Flow-Updating meets Mass-Distribution.,content review,some sugestion,accepted
Jiaqi Zhang 0001,Fault-tolerant aggregation: Flow-Updating meets Mass-Distribution.,content review,some sugestion,accepted
Bita Alipasandi,Fault-tolerant aggregation: Flow-Updating meets Mass-Distribution.,content review,some sugestion,not accepted
André Raspaud,Multi-objective hierarchical algorithms for restoring Wireless Sensor Network connectivity in known environments.,content review,some sugestion,accepted
Kwok-Kai Soo,Multi-objective hierarchical algorithms for restoring Wireless Sensor Network connectivity in known environments.,content review,some sugestion,accepted
C. G. Parthipan,Multi-objective hierarchical algorithms for restoring Wireless Sensor Network connectivity in known environments.,content review,some sugestion,not accepted
Theodosios Pavlidis,A Novel Dual Iterative Q-Learning Method for Optimal Battery Management in Smart Residential Environments.,content review,some sugestion,accepted
Björn Berghausen,A Novel Dual Iterative Q-Learning Method for Optimal Battery Management in Smart Residential Environments.,content review,some sugestion,accepted
Lianjun Xiao,A Novel Dual Iterative Q-Learning Method for Optimal Battery Management in Smart Residential Environments.,content review,some sugestion,not accepted
S. Twomey,Portable and Airborne Small Footprint LiDAR: Forest Canopy Structure Estimation of Fire Managed Plots.,content review,some sugestion,accepted
Theodosios Pavlidis,Portable and Airborne Small Footprint LiDAR: Forest Canopy Structure Estimation of Fire Managed Plots.,content review,some sugestion,accepted
Lukasz Maksymiuk,Portable and Airborne Small Footprint LiDAR: Forest Canopy Structure Estimation of Fire Managed Plots.,content review,some sugestion,not accepted
Mazen O. Hasna,Context Effect in the Categorical Perception of Mandarin Tones.,content review,some sugestion,accepted
Arun Mittal,Context Effect in the Categorical Perception of Mandarin Tones.,content review,some sugestion,accepted
Guangyuan Pan,Context Effect in the Categorical Perception of Mandarin Tones.,content review,some sugestion,not accepted
Dinesh Manocha,Resultants over commutative idempotent semirings I: Algebraic aspect.,content review,some sugestion,accepted
Dan Suciu,Resultants over commutative idempotent semirings I: Algebraic aspect.,content review,some sugestion,accepted
Guangyuan Pan,Resultants over commutative idempotent semirings I: Algebraic aspect.,content review,some sugestion,not accepted
André Raspaud,On an algorithm for Vision-based hand gesture recognition.,content review,some sugestion,accepted
Daniel Cullina,On an algorithm for Vision-based hand gesture recognition.,content review,some sugestion,accepted
Anita Schöbel,On an algorithm for Vision-based hand gesture recognition.,content review,some sugestion,not accepted
Dan Suciu,New techniques for untestable fault identification in sequential circuits.,content review,some sugestion,accepted
Daniel Cullina,New techniques for untestable fault identification in sequential circuits.,content review,some sugestion,accepted
Arun Mittal,New techniques for untestable fault identification in sequential circuits.,content review,some sugestion,not accepted
Jiang Ma,A weighted strategy to handle likelihood uncertainty in Bayesian inference.,content review,some sugestion,accepted
Robert Finger,A weighted strategy to handle likelihood uncertainty in Bayesian inference.,content review,some sugestion,accepted
Arvind Ramanathan,A weighted strategy to handle likelihood uncertainty in Bayesian inference.,content review,some sugestion,not accepted
Gabriel M. Silberman,Converting scanned images of seismic reflection data into SEG-Y format.,content review,some sugestion,accepted
Babak Farzad,Converting scanned images of seismic reflection data into SEG-Y format.,content review,some sugestion,accepted
Naohisa Komatsu,Converting scanned images of seismic reflection data into SEG-Y format.,content review,some sugestion,not accepted
Osama Rashed Sayed,TCP Pegas: A PSO-based improvement over TCP Vegas.,content review,some sugestion,accepted
Norman F. Schneidewind,TCP Pegas: A PSO-based improvement over TCP Vegas.,content review,some sugestion,accepted
Hen-Wai Tsao,TCP Pegas: A PSO-based improvement over TCP Vegas.,content review,some sugestion,not accepted
Anton Schiela,Real controllability/stabilizability radius of LTI systems.,content review,some sugestion,accepted
Adel El-Faraskoury,Real controllability/stabilizability radius of LTI systems.,content review,some sugestion,accepted
Hidehisa Yoshida,Real controllability/stabilizability radius of LTI systems.,content review,some sugestion,not accepted
Kwok-Kai Soo,Benchmarking HEp-2 specimen cells classification using linear discriminant analysis on higher order spectra features of cell shape.,content review,some sugestion,accepted
David Perry,Benchmarking HEp-2 specimen cells classification using linear discriminant analysis on higher order spectra features of cell shape.,content review,some sugestion,accepted
Bettina Klaus,Benchmarking HEp-2 specimen cells classification using linear discriminant analysis on higher order spectra features of cell shape.,content review,some sugestion,not accepted
Hermano Frid,Link-Adaptive Mapper Designs for Space-Shift-Keying-Modulated MIMO Systems.,content review,some sugestion,accepted
Hady Pranoto,Link-Adaptive Mapper Designs for Space-Shift-Keying-Modulated MIMO Systems.,content review,some sugestion,accepted
Duyan Bi,Link-Adaptive Mapper Designs for Space-Shift-Keying-Modulated MIMO Systems.,content review,some sugestion,not accepted
Amir Bozorgzadeh,A library network model.,content review,some sugestion,accepted
Lianjun Xiao,A library network model.,content review,some sugestion,accepted
Erik Meineche Schmidt,A library network model.,content review,some sugestion,not accepted
Diogo Poças,An efficient syntactic approach to structural analysis of on-line handwritten mathematical expressions.,content review,some sugestion,accepted
Babak Farzad,An efficient syntactic approach to structural analysis of on-line handwritten mathematical expressions.,content review,some sugestion,accepted
Dariusz Fabianowski,An efficient syntactic approach to structural analysis of on-line handwritten mathematical expressions.,content review,some sugestion,not accepted
N. C. Simpson,Noise Localization Method for Model Tests in a Large Cavitation Tunnel Using a Hydrophone Array.,content review,some sugestion,accepted
David Alan Grier,Noise Localization Method for Model Tests in a Large Cavitation Tunnel Using a Hydrophone Array.,content review,some sugestion,accepted
M. I. Cohen,Noise Localization Method for Model Tests in a Large Cavitation Tunnel Using a Hydrophone Array.,content review,some sugestion,not accepted
Louise A. Mawn,Area- and power-efficient iterative single/double-precision merged floating-point multiplier on FPGA.,content review,some sugestion,accepted
Laurent Chupin,Area- and power-efficient iterative single/double-precision merged floating-point multiplier on FPGA.,content review,some sugestion,accepted
Daniel Troy,Area- and power-efficient iterative single/double-precision merged floating-point multiplier on FPGA.,content review,some sugestion,not accepted
Bita Alipasandi,K-means clustering analysis and evaluation for internet of acoustic environment characteristics.,content review,some sugestion,accepted
Luca Schenato 0001,K-means clustering analysis and evaluation for internet of acoustic environment characteristics.,content review,some sugestion,accepted
Arvind Ramanathan,K-means clustering analysis and evaluation for internet of acoustic environment characteristics.,content review,some sugestion,not accepted
