reviewer,article
S. Twomey,Basic Difference Between Brain and Computer: Integration of Asynchronous Processes Implemented as Hardware Model of the Retina.
Naohisa Komatsu,Basic Difference Between Brain and Computer: Integration of Asynchronous Processes Implemented as Hardware Model of the Retina.
Gabriel M. Silberman,Basic Difference Between Brain and Computer: Integration of Asynchronous Processes Implemented as Hardware Model of the Retina.
Chih-Yuan Yao,Implementation of Machine Learning for Autonomic Capabilities in Self-Organizing Heterogeneous Networks.
N. C. Simpson,Implementation of Machine Learning for Autonomic Capabilities in Self-Organizing Heterogeneous Networks.
Roy Edgar Hansen,Implementation of Machine Learning for Autonomic Capabilities in Self-Organizing Heterogeneous Networks.
Chia-Lung Yeh,Multichannel bandwidth allocation in a broadband packet switch.
Constant Solimando,Multichannel bandwidth allocation in a broadband packet switch.
Dinesh Manocha,Multichannel bandwidth allocation in a broadband packet switch.
M. I. Cohen,On the Role of Land Surface Temperature as Proxy of Soil Moisture Status for Drought Monitoring in Europe.
Andrzej Omieljanowicz,On the Role of Land Surface Temperature as Proxy of Soil Moisture Status for Drought Monitoring in Europe.
Hermano Frid,On the Role of Land Surface Temperature as Proxy of Soil Moisture Status for Drought Monitoring in Europe.
Hidehisa Yoshida,"Sharing, Liking, Commenting, and Distressed? The Pathway Between Facebook Interaction and Psychological Distress."
Moulay A. Barkatou,"Sharing, Liking, Commenting, and Distressed? The Pathway Between Facebook Interaction and Psychological Distress."
David T. Wong,"Sharing, Liking, Commenting, and Distressed? The Pathway Between Facebook Interaction and Psychological Distress."
Danni Zhu,On Recovery of Sparse Signals With Prior Support Information via Weighted ℓₚ-Minimization.
Jiaqi Zhang 0001,On Recovery of Sparse Signals With Prior Support Information via Weighted ℓₚ-Minimization.
Daniel Troy,On Recovery of Sparse Signals With Prior Support Information via Weighted ℓₚ-Minimization.
E. Lerzan Örmeci,Internal Model Control of Permanent Magnet Synchronous Motor Using Support Vector Machine Generalized Inverse.
Ilan Abramovici,Internal Model Control of Permanent Magnet Synchronous Motor Using Support Vector Machine Generalized Inverse.
Daniel Troy,Internal Model Control of Permanent Magnet Synchronous Motor Using Support Vector Machine Generalized Inverse.
Theodosios Pavlidis,Parameter-Free Attention in fMRI Decoding.
Guangyuan Pan,Parameter-Free Attention in fMRI Decoding.
Astrid Tannert,Parameter-Free Attention in fMRI Decoding.
Robert Finger,The user of the future: Reimagining how we think about information.
Le Deng,The user of the future: Reimagining how we think about information.
David Alan Grier,The user of the future: Reimagining how we think about information.
Le Deng,Enabling data science in the Gaia mission archive: The present-day mass function and age distribution.
E. A. Mary Anita,Enabling data science in the Gaia mission archive: The present-day mass function and age distribution.
Theodosios Pavlidis,Enabling data science in the Gaia mission archive: The present-day mass function and age distribution.
E. A. Mary Anita,A survey of transformer-based multimodal pre-trained modals.
André Raspaud,A survey of transformer-based multimodal pre-trained modals.
Mazen O. Hasna,A survey of transformer-based multimodal pre-trained modals.
Abbas Heydari,A mixed mimetic spectral element model of the rotating shallow water equations on the cubed sphere.
Babak Farzad,A mixed mimetic spectral element model of the rotating shallow water equations on the cubed sphere.
David Perry,A mixed mimetic spectral element model of the rotating shallow water equations on the cubed sphere.
Ahmed M. Mohamed,Coordinating Programs in the Network of Tasks Model.
Dinesh Manocha,Coordinating Programs in the Network of Tasks Model.
Erik Meineche Schmidt,Coordinating Programs in the Network of Tasks Model.
Arun Mittal,On multiserver feedback retrial queues with balking and control retrial rate.
Aku Riihelä,On multiserver feedback retrial queues with balking and control retrial rate.
Renbiao Wu,On multiserver feedback retrial queues with balking and control retrial rate.
Louise A. Mawn,Approximability in the GPAC.
Danni Zhu,Approximability in the GPAC.
John T. Fredricksen,Approximability in the GPAC.
Astrid Tannert,"Analysis of bulk queue with unreliable service station, second optional repair, N-policy multiple vacation, loss and immediate feedback in production system."
Huijun Wu,"Analysis of bulk queue with unreliable service station, second optional repair, N-policy multiple vacation, loss and immediate feedback in production system."
Abbas Heydari,"Analysis of bulk queue with unreliable service station, second optional repair, N-policy multiple vacation, loss and immediate feedback in production system."
Alper Korkmaz,Enhancing Information Retrieval Through Statistical Natural Language Processing: A Study of Collocation Indexing.
Keecheon Kim,Enhancing Information Retrieval Through Statistical Natural Language Processing: A Study of Collocation Indexing.
Christopher I. Amos,Enhancing Information Retrieval Through Statistical Natural Language Processing: A Study of Collocation Indexing.
Akira Suzuki,Mass Segmentation in Automated 3-D Breast Ultrasound Using Adaptive Region Growing and Supervised Edge-Based Deformable Model.
Wirt Atmar,Mass Segmentation in Automated 3-D Breast Ultrasound Using Adaptive Region Growing and Supervised Edge-Based Deformable Model.
Hidehisa Yoshida,Mass Segmentation in Automated 3-D Breast Ultrasound Using Adaptive Region Growing and Supervised Edge-Based Deformable Model.
Daniela Guaiana,Knowledge Management Research Initiatives in North America.
Björn Berghausen,Knowledge Management Research Initiatives in North America.
Keecheon Kim,Knowledge Management Research Initiatives in North America.
Babak Farzad,Sensitive Functions and Approximate Problems.
Haowei Xu,Sensitive Functions and Approximate Problems.
Osama Rashed Sayed,Sensitive Functions and Approximate Problems.
Akira Suzuki,Geometrical Bounds for Variance and Recentered Moments.
S. Twomey,Geometrical Bounds for Variance and Recentered Moments.
Heike Siebert,Geometrical Bounds for Variance and Recentered Moments.
Heike Siebert,Algorithm 300: Coulomb wave functions.
David T. Wong,Algorithm 300: Coulomb wave functions.
Lukasz Maksymiuk,Algorithm 300: Coulomb wave functions.
David Perry,"Second-sourcing CPUs - Emulation, Ethics, And Electropolitics."
Alper Korkmaz,"Second-sourcing CPUs - Emulation, Ethics, And Electropolitics."
Andrew J. Hinchley,"Second-sourcing CPUs - Emulation, Ethics, And Electropolitics."
David Perry,Assessment of changes in urban green spaces of Mashad city using satellite data.
Christopher I. Amos,Assessment of changes in urban green spaces of Mashad city using satellite data.
Dinesh Manocha,Assessment of changes in urban green spaces of Mashad city using satellite data.
Jan Camenisch,Improved likelihood ratio test based voice activity detector applied to speech recognition.
Abbas Heydari,Improved likelihood ratio test based voice activity detector applied to speech recognition.
E. Lerzan Örmeci,Improved likelihood ratio test based voice activity detector applied to speech recognition.
Luca Schenato 0001,Explicit Runge-Kutta Methods Combined with Advanced Versions of the Richardson Extrapolation.
Hen-Wai Tsao,Explicit Runge-Kutta Methods Combined with Advanced Versions of the Richardson Extrapolation.
E. A. Mary Anita,Explicit Runge-Kutta Methods Combined with Advanced Versions of the Richardson Extrapolation.
Moulay A. Barkatou,A novel artificial neural network method for biomedical prediction based on matrix pseudo-inversion.
Karl-Heinz Best,A novel artificial neural network method for biomedical prediction based on matrix pseudo-inversion.
Huiqin Xie,A novel artificial neural network method for biomedical prediction based on matrix pseudo-inversion.
Dariusz Fabianowski,Improved Speech Enhancement Considering Speech PSD Uncertainty.
Jan Camenisch,Improved Speech Enhancement Considering Speech PSD Uncertainty.
Oliver Marschollek,Improved Speech Enhancement Considering Speech PSD Uncertainty.
Adel El-Faraskoury,"Information Society: Analyzing Problems and Prospects of Using Information Technologies, Computers and Communication Networks."
Gabriel M. Silberman,"Information Society: Analyzing Problems and Prospects of Using Information Technologies, Computers and Communication Networks."
Dariusz Fabianowski,"Information Society: Analyzing Problems and Prospects of Using Information Technologies, Computers and Communication Networks."
Karl-Heinz Best,An integrated model to evaluate water-energy-food nexus at a household scale.
Björn Berghausen,An integrated model to evaluate water-energy-food nexus at a household scale.
Luca Schenato 0001,An integrated model to evaluate water-energy-food nexus at a household scale.
Kwok-Kai Soo,A Quantum-Proof Non-Malleable Extractor With Application to Privacy Amplification against Active Quantum Adversaries.
Dan Suciu,A Quantum-Proof Non-Malleable Extractor With Application to Privacy Amplification against Active Quantum Adversaries.
Adriano Meta,A Quantum-Proof Non-Malleable Extractor With Application to Privacy Amplification against Active Quantum Adversaries.
Ahmed M. Mohamed,Fault-tolerant aggregation: Flow-Updating meets Mass-Distribution.
Jiaqi Zhang 0001,Fault-tolerant aggregation: Flow-Updating meets Mass-Distribution.
Bita Alipasandi,Fault-tolerant aggregation: Flow-Updating meets Mass-Distribution.
André Raspaud,Multi-objective hierarchical algorithms for restoring Wireless Sensor Network connectivity in known environments.
Kwok-Kai Soo,Multi-objective hierarchical algorithms for restoring Wireless Sensor Network connectivity in known environments.
C. G. Parthipan,Multi-objective hierarchical algorithms for restoring Wireless Sensor Network connectivity in known environments.
Theodosios Pavlidis,A Novel Dual Iterative Q-Learning Method for Optimal Battery Management in Smart Residential Environments.
Björn Berghausen,A Novel Dual Iterative Q-Learning Method for Optimal Battery Management in Smart Residential Environments.
Lianjun Xiao,A Novel Dual Iterative Q-Learning Method for Optimal Battery Management in Smart Residential Environments.
S. Twomey,Portable and Airborne Small Footprint LiDAR: Forest Canopy Structure Estimation of Fire Managed Plots.
Theodosios Pavlidis,Portable and Airborne Small Footprint LiDAR: Forest Canopy Structure Estimation of Fire Managed Plots.
Lukasz Maksymiuk,Portable and Airborne Small Footprint LiDAR: Forest Canopy Structure Estimation of Fire Managed Plots.
Mazen O. Hasna,Context Effect in the Categorical Perception of Mandarin Tones.
Arun Mittal,Context Effect in the Categorical Perception of Mandarin Tones.
Guangyuan Pan,Context Effect in the Categorical Perception of Mandarin Tones.
Dinesh Manocha,Resultants over commutative idempotent semirings I: Algebraic aspect.
Dan Suciu,Resultants over commutative idempotent semirings I: Algebraic aspect.
Guangyuan Pan,Resultants over commutative idempotent semirings I: Algebraic aspect.
André Raspaud,On an algorithm for Vision-based hand gesture recognition.
Daniel Cullina,On an algorithm for Vision-based hand gesture recognition.
Anita Schöbel,On an algorithm for Vision-based hand gesture recognition.
Dan Suciu,New techniques for untestable fault identification in sequential circuits.
Daniel Cullina,New techniques for untestable fault identification in sequential circuits.
Arun Mittal,New techniques for untestable fault identification in sequential circuits.
Jiang Ma,A weighted strategy to handle likelihood uncertainty in Bayesian inference.
Robert Finger,A weighted strategy to handle likelihood uncertainty in Bayesian inference.
Arvind Ramanathan,A weighted strategy to handle likelihood uncertainty in Bayesian inference.
Gabriel M. Silberman,Converting scanned images of seismic reflection data into SEG-Y format.
Babak Farzad,Converting scanned images of seismic reflection data into SEG-Y format.
Naohisa Komatsu,Converting scanned images of seismic reflection data into SEG-Y format.
Osama Rashed Sayed,TCP Pegas: A PSO-based improvement over TCP Vegas.
Norman F. Schneidewind,TCP Pegas: A PSO-based improvement over TCP Vegas.
Hen-Wai Tsao,TCP Pegas: A PSO-based improvement over TCP Vegas.
Anton Schiela,Real controllability/stabilizability radius of LTI systems.
Adel El-Faraskoury,Real controllability/stabilizability radius of LTI systems.
Hidehisa Yoshida,Real controllability/stabilizability radius of LTI systems.
Kwok-Kai Soo,Benchmarking HEp-2 specimen cells classification using linear discriminant analysis on higher order spectra features of cell shape.
David Perry,Benchmarking HEp-2 specimen cells classification using linear discriminant analysis on higher order spectra features of cell shape.
Bettina Klaus,Benchmarking HEp-2 specimen cells classification using linear discriminant analysis on higher order spectra features of cell shape.
Hermano Frid,Link-Adaptive Mapper Designs for Space-Shift-Keying-Modulated MIMO Systems.
Hady Pranoto,Link-Adaptive Mapper Designs for Space-Shift-Keying-Modulated MIMO Systems.
Duyan Bi,Link-Adaptive Mapper Designs for Space-Shift-Keying-Modulated MIMO Systems.
Amir Bozorgzadeh,A library network model.
Lianjun Xiao,A library network model.
Erik Meineche Schmidt,A library network model.
Diogo Poças,An efficient syntactic approach to structural analysis of on-line handwritten mathematical expressions.
Babak Farzad,An efficient syntactic approach to structural analysis of on-line handwritten mathematical expressions.
Dariusz Fabianowski,An efficient syntactic approach to structural analysis of on-line handwritten mathematical expressions.
N. C. Simpson,Noise Localization Method for Model Tests in a Large Cavitation Tunnel Using a Hydrophone Array.
David Alan Grier,Noise Localization Method for Model Tests in a Large Cavitation Tunnel Using a Hydrophone Array.
M. I. Cohen,Noise Localization Method for Model Tests in a Large Cavitation Tunnel Using a Hydrophone Array.
Louise A. Mawn,Area- and power-efficient iterative single/double-precision merged floating-point multiplier on FPGA.
Laurent Chupin,Area- and power-efficient iterative single/double-precision merged floating-point multiplier on FPGA.
Daniel Troy,Area- and power-efficient iterative single/double-precision merged floating-point multiplier on FPGA.
Bita Alipasandi,K-means clustering analysis and evaluation for internet of acoustic environment characteristics.
Luca Schenato 0001,K-means clustering analysis and evaluation for internet of acoustic environment characteristics.
Arvind Ramanathan,K-means clustering analysis and evaluation for internet of acoustic environment characteristics.
Dariusz Fabianowski,A Study of Search Intermediary Working Notes: Implications for IR System Design.
K. R. Ramakrishnan,A Study of Search Intermediary Working Notes: Implications for IR System Design.
Babak Farzad,A Study of Search Intermediary Working Notes: Implications for IR System Design.
David T. Wong,Downlink Resource Sharing in Multichannel Device-to-Device Communication.
Akira Suzuki,Downlink Resource Sharing in Multichannel Device-to-Device Communication.
Chaojiang Wu,Downlink Resource Sharing in Multichannel Device-to-Device Communication.
Gabriel M. Silberman,Association between triallelic polymorphism of the serotonin transporter and [
Aida Pliuskeviciene,Association between triallelic polymorphism of the serotonin transporter and [
Robert Finger,Association between triallelic polymorphism of the serotonin transporter and [
Arun Mittal,Low gate interface traps AlGaN/GaN HEMTs using a lattice matched ZrZnO transparent gate design.
Huijun Wu,Low gate interface traps AlGaN/GaN HEMTs using a lattice matched ZrZnO transparent gate design.
Jan Camenisch,Low gate interface traps AlGaN/GaN HEMTs using a lattice matched ZrZnO transparent gate design.
Bettina Klaus,Spike-based compact digital neuromorphic architecture for efficient implementation of high order FIR filters.
Anton Schiela,Spike-based compact digital neuromorphic architecture for efficient implementation of high order FIR filters.
Amaro de Sousa,Spike-based compact digital neuromorphic architecture for efficient implementation of high order FIR filters.
Di Li 0003,Teilelogistik - Unterstützung durch Informations- und Kommunikationssysteme im vetrieb der Merzedes Benz AG.
Vera Tilson,Teilelogistik - Unterstützung durch Informations- und Kommunikationssysteme im vetrieb der Merzedes Benz AG.
E. A. Mary Anita,Teilelogistik - Unterstützung durch Informations- und Kommunikationssysteme im vetrieb der Merzedes Benz AG.
Hady Pranoto,A finite characterization of
Vera Tilson,A finite characterization of
N. C. Simpson,A finite characterization of
Di Li 0003,On weighted unbalanced linguistic aggregation operators in group decision making.
David Perry,On weighted unbalanced linguistic aggregation operators in group decision making.
Arturo Molina 0001,On weighted unbalanced linguistic aggregation operators in group decision making.
Akira Suzuki,Entanglement cost of generalised measurements.
Arun Mittal,Entanglement cost of generalised measurements.
Adriano Meta,Entanglement cost of generalised measurements.
Anita Schöbel,A method to optimize evacuation instructions.
Osama Rashed Sayed,A method to optimize evacuation instructions.
David T. Wong,A method to optimize evacuation instructions.
Diogo Poças,FPGA-Aware Scheduling Strategies at Hypervisor Level in Cloud Environments.
S. Twomey,FPGA-Aware Scheduling Strategies at Hypervisor Level in Cloud Environments.
Luca Schenato 0001,FPGA-Aware Scheduling Strategies at Hypervisor Level in Cloud Environments.
Duyan Bi,tvReg: Time-varying Coefficients in Multi-Equation Regression in R.
Dinesh Manocha,tvReg: Time-varying Coefficients in Multi-Equation Regression in R.
Qiqi Wang,tvReg: Time-varying Coefficients in Multi-Equation Regression in R.
Theodosios Pavlidis,PANFIS: A Novel Incremental Learning Machine.
Keecheon Kim,PANFIS: A Novel Incremental Learning Machine.
Luca Schenato 0001,PANFIS: A Novel Incremental Learning Machine.
Amir Bozorgzadeh,Advancing the Boundaries of Higher Education in Arizona Using the World Wide Web.
Dariusz Fabianowski,Advancing the Boundaries of Higher Education in Arizona Using the World Wide Web.
M. I. Cohen,Advancing the Boundaries of Higher Education in Arizona Using the World Wide Web.
N. C. Simpson,An efficiently computable subgraph pattern support measure: counting independent observations.
Hidehisa Yoshida,An efficiently computable subgraph pattern support measure: counting independent observations.
Hermano Frid,An efficiently computable subgraph pattern support measure: counting independent observations.
John T. Fredricksen,Review.
Abbas Heydari,Review.
Erik Meineche Schmidt,Review.
Arthur J. Davidson,A neurophysiological approach to assess training outcome under stress: A virtual reality experiment of industrial shutdown maintenance using Functional Near-Infrared Spectroscopy (fNIRS).
M. I. Cohen,A neurophysiological approach to assess training outcome under stress: A virtual reality experiment of industrial shutdown maintenance using Functional Near-Infrared Spectroscopy (fNIRS).
Fabian Rothmaier,A neurophysiological approach to assess training outcome under stress: A virtual reality experiment of industrial shutdown maintenance using Functional Near-Infrared Spectroscopy (fNIRS).
Gabriel M. Silberman,An Empirical Study of Technological Factors Affecting Cloud Enterprise Resource Planning Systems Adoption.
Ming Zhang,An Empirical Study of Technological Factors Affecting Cloud Enterprise Resource Planning Systems Adoption.
Dok Nam Lee,An Empirical Study of Technological Factors Affecting Cloud Enterprise Resource Planning Systems Adoption.
Duyan Bi,LexBFS-orderings and powers of chordal graphs.
Qiqi Wang,LexBFS-orderings and powers of chordal graphs.
Theodosios Pavlidis,LexBFS-orderings and powers of chordal graphs.
Keecheon Kim,LEDGERBENCH: A Framework for Benchmarking Ledger Databases.
Daniel Cullina,LEDGERBENCH: A Framework for Benchmarking Ledger Databases.
Theodosios Pavlidis,LEDGERBENCH: A Framework for Benchmarking Ledger Databases.
Hai-Wei Sun,DEM- and GIS-Based Analysis of Soil Erosion Depth Using Machine Learning.
Heike Siebert,DEM- and GIS-Based Analysis of Soil Erosion Depth Using Machine Learning.
Haowei Xu,DEM- and GIS-Based Analysis of Soil Erosion Depth Using Machine Learning.
David Dagan Feng,On strong edge-colouring of subcubic graphs.
Daniela Guaiana,On strong edge-colouring of subcubic graphs.
Arthur J. Davidson,On strong edge-colouring of subcubic graphs.
Le Deng,Confidence intervals for an ordinal effect size measure based on partially validated series.
Adriano Meta,Confidence intervals for an ordinal effect size measure based on partially validated series.
Haowei Xu,Confidence intervals for an ordinal effect size measure based on partially validated series.
Akira Suzuki,Novel technique for preprocessing high dimensional time-course data from DNA microarray: mathematical model-based clustering.
Huiqin Xie,Novel technique for preprocessing high dimensional time-course data from DNA microarray: mathematical model-based clustering.
Lukasz Maksymiuk,Novel technique for preprocessing high dimensional time-course data from DNA microarray: mathematical model-based clustering.
Constant Solimando,Solitary wave simulations of Complex Modified Korteweg-de Vries Equation using differential quadrature method.
Le Deng,Solitary wave simulations of Complex Modified Korteweg-de Vries Equation using differential quadrature method.
Theodosios Pavlidis,Solitary wave simulations of Complex Modified Korteweg-de Vries Equation using differential quadrature method.
John T. Fredricksen,Fractional wavelet transform based diagnostic system for brain tumor detection in MR imaging.
Luca Schenato 0001,Fractional wavelet transform based diagnostic system for brain tumor detection in MR imaging.
Babak Farzad,Fractional wavelet transform based diagnostic system for brain tumor detection in MR imaging.
Jan Camenisch,Waveform Interpolation-Based Speech Analysis/Synthesis for HMM-Based TTS Systems.
Arvind Ramanathan,Waveform Interpolation-Based Speech Analysis/Synthesis for HMM-Based TTS Systems.
Chia-Lung Yeh,Waveform Interpolation-Based Speech Analysis/Synthesis for HMM-Based TTS Systems.
E. A. Mary Anita,Anti-Multipath Orthogonal Chirp Division Multiplexing for Underwater Acoustic Communication.
Naohisa Komatsu,Anti-Multipath Orthogonal Chirp Division Multiplexing for Underwater Acoustic Communication.
Bettina Klaus,Anti-Multipath Orthogonal Chirp Division Multiplexing for Underwater Acoustic Communication.
Kanad Chakraborty,Book review.
E. A. Mary Anita,Book review.
Danni Zhu,Book review.
Daniel Troy,Physics-Informed Hyperspectral Remote Sensing Image Synthesis With Deep Conditional Generative Adversarial Networks.
Christopher I. Amos,Physics-Informed Hyperspectral Remote Sensing Image Synthesis With Deep Conditional Generative Adversarial Networks.
Chih-Yuan Yao,Physics-Informed Hyperspectral Remote Sensing Image Synthesis With Deep Conditional Generative Adversarial Networks.
Amaro de Sousa,High-tech indicators: assessing the competitiveness of selected European countries.
E. Lerzan Örmeci,High-tech indicators: assessing the competitiveness of selected European countries.
Danni Zhu,High-tech indicators: assessing the competitiveness of selected European countries.
Jan Camenisch,A serial inventory system with supplier selection and order quantity allocation.
Hady Pranoto,A serial inventory system with supplier selection and order quantity allocation.
Daniel Troy,A serial inventory system with supplier selection and order quantity allocation.
Norman F. Schneidewind,"Multitarget likelihood computation for track-before-detect applications with amplitude fluctuations of type swerling 0, 1, and 3."
Louise A. Mawn,"Multitarget likelihood computation for track-before-detect applications with amplitude fluctuations of type swerling 0, 1, and 3."
Arthur J. Davidson,"Multitarget likelihood computation for track-before-detect applications with amplitude fluctuations of type swerling 0, 1, and 3."
Huiqin Xie,Clinical Outcome Prediction Using Single-Cell Data.
Hady Pranoto,Clinical Outcome Prediction Using Single-Cell Data.
Heike Siebert,Clinical Outcome Prediction Using Single-Cell Data.
Hen-Wai Tsao,A martingale Kronecker lemma and parameter estimation for linear systems.
Jan Camenisch,A martingale Kronecker lemma and parameter estimation for linear systems.
Duyan Bi,A martingale Kronecker lemma and parameter estimation for linear systems.
Arvind Ramanathan,Coupling fuzzy clustering and cellular automata based on local maxima of development potential to model urban emergence and expansion in economic development zones.
Huiqin Xie,Coupling fuzzy clustering and cellular automata based on local maxima of development potential to model urban emergence and expansion in economic development zones.
André Raspaud,Coupling fuzzy clustering and cellular automata based on local maxima of development potential to model urban emergence and expansion in economic development zones.
Alper Korkmaz,Particle Swarm Optimization With Interswarm Interactive Learning Strategy.
Adriano Meta,Particle Swarm Optimization With Interswarm Interactive Learning Strategy.
Jiang Ma,Particle Swarm Optimization With Interswarm Interactive Learning Strategy.
Chaojiang Wu,VSAT data networks.
Babak Farzad,VSAT data networks.
Abbas Heydari,VSAT data networks.
Hady Pranoto,Decentralized Consensus Optimization Based on Parallel Random Walk.
Diogo Poças,Decentralized Consensus Optimization Based on Parallel Random Walk.
David Alan Grier,Decentralized Consensus Optimization Based on Parallel Random Walk.
Astrid Tannert,Determination of optimal order-up to level quantities for dependent spare parts using data mining.
Le Deng,Determination of optimal order-up to level quantities for dependent spare parts using data mining.
Adriano Meta,Determination of optimal order-up to level quantities for dependent spare parts using data mining.
Constant Solimando,A Novel 3D Indoor Localization Scheme Using Virtual Access Point.
C. G. Parthipan,A Novel 3D Indoor Localization Scheme Using Virtual Access Point.
Huijun Wu,A Novel 3D Indoor Localization Scheme Using Virtual Access Point.
Amir Shmuel,"Pretense, Counterfactuals, and Bayesian Causal Models: Why What Is Not Real Really Matters."
Aida Pliuskeviciene,"Pretense, Counterfactuals, and Bayesian Causal Models: Why What Is Not Real Really Matters."
Hady Pranoto,"Pretense, Counterfactuals, and Bayesian Causal Models: Why What Is Not Real Really Matters."
Abbas Heydari,On measuring the system coherency of quadratically nonlinear systems.
Theodore Hailperin,On measuring the system coherency of quadratically nonlinear systems.
Chi-Sang Jung,On measuring the system coherency of quadratically nonlinear systems.
Daniel Troy,Directional Motion on Water Surface With Keel Extruded Footpads Propelled by Marangoni Effect.
C. G. Parthipan,Directional Motion on Water Surface With Keel Extruded Footpads Propelled by Marangoni Effect.
Fabian Rothmaier,Directional Motion on Water Surface With Keel Extruded Footpads Propelled by Marangoni Effect.
Chih-Yuan Yao,Adaptive learning region importance for region-based image retrieval.
Hai-Wei Sun,Adaptive learning region importance for region-based image retrieval.
Dok Nam Lee,Adaptive learning region importance for region-based image retrieval.
Huiqin Xie,Big vs little core for energy-efficient Hadoop computing.
Danni Zhu,Big vs little core for energy-efficient Hadoop computing.
C. G. Parthipan,Big vs little core for energy-efficient Hadoop computing.
David T. Wong,3D IMPRESS vision expert system for automated construction of three-dimensional image processing procedures and its performance evaluation.
Theodore Hailperin,3D IMPRESS vision expert system for automated construction of three-dimensional image processing procedures and its performance evaluation.
Amir Shmuel,3D IMPRESS vision expert system for automated construction of three-dimensional image processing procedures and its performance evaluation.
Alper Korkmaz,The relationship between sustainable business management and competitiveness: research trends and challenge.
Anna Maria Paganoni,The relationship between sustainable business management and competitiveness: research trends and challenge.
Vera Tilson,The relationship between sustainable business management and competitiveness: research trends and challenge.
Kanad Chakraborty,Adaptive Geometry Image.
Luca Schenato 0001,Adaptive Geometry Image.
Aku Riihelä,Adaptive Geometry Image.
Abbas Heydari,Estimation of fiber orientation and spin density distribution by diffusion deconvolution.
Guangyuan Pan,Estimation of fiber orientation and spin density distribution by diffusion deconvolution.
Constant Solimando,Estimation of fiber orientation and spin density distribution by diffusion deconvolution.
Chia-Lung Yeh,QoE Vadis? (Dagstuhl Perspectives Workshop 16472).
André Raspaud,QoE Vadis? (Dagstuhl Perspectives Workshop 16472).
Huiqin Xie,QoE Vadis? (Dagstuhl Perspectives Workshop 16472).
Aku Riihelä,UWB Channel Modeling in Roadway and Indoor Parking Environments.
Adel El-Faraskoury,UWB Channel Modeling in Roadway and Indoor Parking Environments.
Moulay A. Barkatou,UWB Channel Modeling in Roadway and Indoor Parking Environments.
Hidehisa Yoshida,"On the optimal, fair and channel-aware cognitive radio network reconfiguration."
Laurent Chupin,"On the optimal, fair and channel-aware cognitive radio network reconfiguration."
Adriano Meta,"On the optimal, fair and channel-aware cognitive radio network reconfiguration."
S. Twomey,Indoor Magnetic Signature Based Localization Algorithm without Person-Dependent Parameter Calibration.
Andrew J. Hinchley,Indoor Magnetic Signature Based Localization Algorithm without Person-Dependent Parameter Calibration.
Arun Mittal,Indoor Magnetic Signature Based Localization Algorithm without Person-Dependent Parameter Calibration.
Anna Maria Paganoni,System Dynamics and Tradeoffs in Radio Astronomical Data Transport of an Integrated Satellite Communication and Radio Astronomy System.
Arvind Ramanathan,System Dynamics and Tradeoffs in Radio Astronomical Data Transport of an Integrated Satellite Communication and Radio Astronomy System.
N. C. Simpson,System Dynamics and Tradeoffs in Radio Astronomical Data Transport of an Integrated Satellite Communication and Radio Astronomy System.
Akira Suzuki,Online Stock Price Prediction Based on Interval Data Analysis.
S. Twomey,Online Stock Price Prediction Based on Interval Data Analysis.
Chi-Sang Jung,Online Stock Price Prediction Based on Interval Data Analysis.
M. I. Cohen,Combat Models for RTS Games.
Ahmed M. Mohamed,Combat Models for RTS Games.
Daniela Guaiana,Combat Models for RTS Games.
Adriano Meta,Topologic Proofs of Some Combinatorial Theorems.
Guangyuan Pan,Topologic Proofs of Some Combinatorial Theorems.
Amir Bozorgzadeh,Topologic Proofs of Some Combinatorial Theorems.
C. G. Parthipan,A Semantic web approach to handling soft constraints in virtual organisations.
Daniel Cullina,A Semantic web approach to handling soft constraints in virtual organisations.
David T. Wong,A Semantic web approach to handling soft constraints in virtual organisations.
N. C. Simpson,Effects of Target Expansion on Selection Performance in Older Computer Users.
Ahmed M. Mohamed,Effects of Target Expansion on Selection Performance in Older Computer Users.
Qiqi Wang,Effects of Target Expansion on Selection Performance in Older Computer Users.
Norman F. Schneidewind,Symbol-by-Symbol MAP Decoding Algorithm for High-Rate Convolutional Codes That Use Reciprocal Dual Codes.
Duyan Bi,Symbol-by-Symbol MAP Decoding Algorithm for High-Rate Convolutional Codes That Use Reciprocal Dual Codes.
Aku Riihelä,Symbol-by-Symbol MAP Decoding Algorithm for High-Rate Convolutional Codes That Use Reciprocal Dual Codes.
Andrew J. Hinchley,A generic framework for heap and value analyses of object-oriented programming languages.
Gabriel M. Silberman,A generic framework for heap and value analyses of object-oriented programming languages.
Danni Zhu,A generic framework for heap and value analyses of object-oriented programming languages.
Amir Shmuel,Server-Aided Fine-Grained Access Control Mechanism with Robust Revocation in Cloud Computing.
Theodosios Pavlidis,Server-Aided Fine-Grained Access Control Mechanism with Robust Revocation in Cloud Computing.
Arthur J. Davidson,Server-Aided Fine-Grained Access Control Mechanism with Robust Revocation in Cloud Computing.
Robert Finger,Fingerprint classification using a feedback-based line detector.
Daniel Cullina,Fingerprint classification using a feedback-based line detector.
Keecheon Kim,Fingerprint classification using a feedback-based line detector.
Ming Zhang,On the robust stabilizability of uncertain linear time-invariant plants using nonlinear time-varying controllers.
Karl-Heinz Best,On the robust stabilizability of uncertain linear time-invariant plants using nonlinear time-varying controllers.
Mazen O. Hasna,On the robust stabilizability of uncertain linear time-invariant plants using nonlinear time-varying controllers.
Anita Schöbel,The Questioning Turing Test.
