title,author
A Hybrid Multi-level Statistical Load Balancer-Based Parameters Estimation Model in Realtime Cloud Computing Environment.,Midhunchakkravarthy
A New Memristive System with Chaotic and Periodic Bursting and Its FPGA Implementation.,Jiong Liu
A New Memristive System with Chaotic and Periodic Bursting and Its FPGA Implementation.,Qiuzhen Wan
A New Memristive System with Chaotic and Periodic Bursting and Its FPGA Implementation.,Simiao Chen
A New Memristive System with Chaotic and Periodic Bursting and Its FPGA Implementation.,Zidie Yan
"The (α, β)-cut control charts for process average based on the generalised intuitionistic fuzzy number.",Mojtaba Alizadeh
"The (α, β)-cut control charts for process average based on the generalised intuitionistic fuzzy number.",Saralees Nadarajah
EdgeSanitizer: Locally Differentially Private Deep Inference at the Edge for Mobile Data Analytics.,Ju Ren
EdgeSanitizer: Locally Differentially Private Deep Inference at the Edge for Mobile Data Analytics.,Kui Ren 0001
EdgeSanitizer: Locally Differentially Private Deep Inference at the Edge for Mobile Data Analytics.,Liang She
EdgeSanitizer: Locally Differentially Private Deep Inference at the Edge for Mobile Data Analytics.,Yaoxue Zhang
EdgeSanitizer: Locally Differentially Private Deep Inference at the Edge for Mobile Data Analytics.,Zhan Qin
Fixed and Floating-Point Implementations of Linear Adaptive Techniques for Predicting Physiological Hand Tremor in Microsurgery.,David Hernandez-Garduno
Fixed and Floating-Point Implementations of Linear Adaptive Techniques for Predicting Physiological Hand Tremor in Microsurgery.,Mohammad Saquib
Diffraction of plane waves by a two-part metal-backed thin dielectric plane.,Eren Erdoan
Diffraction of plane waves by a two-part metal-backed thin dielectric plane.,Gökhan Uzgoren
Storage or No Storage: Duopoly Competition Between Renewable Energy Suppliers in a Local Energy Market.,Hao Wang 0016
Storage or No Storage: Duopoly Competition Between Renewable Energy Suppliers in a Local Energy Market.,Jianwei Huang 0001
Storage or No Storage: Duopoly Competition Between Renewable Energy Suppliers in a Local Energy Market.,Xiaojun Lin
Exploring the impact of software requirements on system-wide goals: a method using satisfaction arguments and i* goal modelling.,Debbie Randall
Exploring the impact of software requirements on system-wide goals: a method using satisfaction arguments and i* goal modelling.,James Lockerbie
Exploring the impact of software requirements on system-wide goals: a method using satisfaction arguments and i* goal modelling.,Jorgen Engmann
Exploring the impact of software requirements on system-wide goals: a method using satisfaction arguments and i* goal modelling.,Neil Arthur McDougall Maiden
Exploring the impact of software requirements on system-wide goals: a method using satisfaction arguments and i* goal modelling.,Sean Jones
Counting Perfect Matchings and the Switch Chain.,Martin E. Dyer
The influence of audio effects and attention on the perceived duration of interaction.,Carl Gutwin
The influence of audio effects and attention on the perceived duration of interaction.,Pang Suwanaposee
"On expressing elements as a sum of squares, where one square is restricted to a subfield.",Robert S. Coulter
Security implications of running windows software on a Linux system using Wine: a malware analysis study.,Z. Cliffe Schreuders
SEE-Ada: Software Evaluation Environment for Ada.,Neville Parker
Recursive Quantum Convolutional Encoders are Catastrophic: A Simple Proof.,Monireh Houshmand
Räumliche Fragestellungen in technischen Domänen.,Matthias Schick
Räumliche Fragestellungen in technischen Domänen.,Sabine Schmitgen
On the Construction of Multitype Quasi-Cyclic Low-Density Parity-Check Codes With Different Girth and Length.,Mohammad Gholami
Methodological Framework for Estimating the Correlation Dimension in HRV Signals.,Eva Rovira
Methodological Framework for Estimating the Correlation Dimension in HRV Signals.,José María Remartínez
Methodological Framework for Estimating the Correlation Dimension in HRV Signals.,Juan Bolea
Methodological Framework for Estimating the Correlation Dimension in HRV Signals.,Pablo Laguna
Methodological Framework for Estimating the Correlation Dimension in HRV Signals.,Raquel Bailón
FEETINGS: Framework for Energy Efficiency Testing to Improve Environmental Goal of the Software.,Félix García 0001
FEETINGS: Framework for Energy Efficiency Testing to Improve Environmental Goal of the Software.,Ignacio García Rodríguez de Guzmán
FEETINGS: Framework for Energy Efficiency Testing to Improve Environmental Goal of the Software.,Javier Mancebo
FEETINGS: Framework for Energy Efficiency Testing to Improve Environmental Goal of the Software.,María Ángeles Moraga
A New Access Control Model for Manufacturing Grid.,Zhihui Ge
Hamiltonicity of regular 2-connected graphs.,Haitze J. Broersma
Hamiltonicity of regular 2-connected graphs.,Henk Jan Veldman
Hamiltonicity of regular 2-connected graphs.,Jan van den Heuvel
Book reviews.,Daune West
Book reviews.,Derek Long
Book reviews.,Hugh Weston Rooms
Book reviews.,John Billingsley
Book reviews.,John Macdonald
Book reviews.,Tony Dodd 0001
Book reviews.,Tony Gillie
Lexicon acquisition based on object-oriented behavior learning.,Shinya Takamuku
Lexicon acquisition based on object-oriented behavior learning.,Yasutake Takahashi
The value of information for price dependent demand.,Andrea C. Hupman
The value of information for price dependent demand.,Zhengwei Sun
Expert opinion [accounting].,William E. McCarthy
A novel methodology for surveying children for designing library services: A case study of the Municipal Library of Prague.,Pavel Cerny
A novel methodology for surveying children for designing library services: A case study of the Municipal Library of Prague.,Petr Hájek 0002
Hybrid planning and distributed iterative repair for multi-robot missions with communication losses.,Magali Barbier
Hybrid planning and distributed iterative repair for multi-robot missions with communication losses.,Patrick Bechon
The Molecular Basis of Polyunsaturated Fatty Acid Interactions with the ,Fredrik Elinder
The Molecular Basis of Polyunsaturated Fatty Acid Interactions with the ,Magnus Andersson
The Molecular Basis of Polyunsaturated Fatty Acid Interactions with the ,Matthias Stein
The Molecular Basis of Polyunsaturated Fatty Acid Interactions with the ,Samira Yazdi
Students' evaluation of tutors in distance education: a quasi-longitudinal study.,Nikolaos K. Tselios
Students' evaluation of tutors in distance education: a quasi-longitudinal study.,Sotiris Kotsiantis
Improving the Human-Computer Dialogue With Increased Temporal Predictability.,Florian Weber
Improving the Human-Computer Dialogue With Increased Temporal Predictability.,Roland Thomaschke
Energy-Efficient and SLA-Based Resource Management in Cloud Data Centers.,Jorge G. Barbosa
Perspective tracking in the real world: Gaze angle analysis in a collaborative wayfinding task.,Lars Konieczny
Perspective tracking in the real world: Gaze angle analysis in a collaborative wayfinding task.,Sarah Schwarzkopf
Perspective tracking in the real world: Gaze angle analysis in a collaborative wayfinding task.,Simon J. Büchner
Null Controllability for Fourth Order Stochastic Parabolic Equations.,Yu Wang
"Interdependent Self-Construal, Self-Efficacy, and Community Involvement as Predictors of Perceived Knowledge Gain Among MMORPG Players.",Toby Hopp
"Interdependent Self-Construal, Self-Efficacy, and Community Involvement as Predictors of Perceived Knowledge Gain Among MMORPG Players.",Valerie Barker
Poly-Spline Finite-Element Method.,Denis Zorin
Poly-Spline Finite-Element Method.,Jérémie Dumas
Poly-Spline Finite-Element Method.,Mario Botsch
Poly-Spline Finite-Element Method.,Teseo Schneider
Poly-Spline Finite-Element Method.,Xifeng Gao
Parameterized splitting systems for the discrete logarithm.,Sungwook Kim
Coloured Loop-Erased Random Walk on the Complete Graph.,Jomy Alappattu
High Performance Monte-Carlo Based Option Pricing on FPGAs.,Xiang Tian 0001
High Performance Monte-Carlo Based Option Pricing on FPGAs.,Xiaochen Gu
On the Beck-Fiala conjecture for random set systems.,Shachar Lovett
A Unified Neural Bigradient Algorithm for robust PCA and MCA.,Liuyue Wang
A New Tactile Transfer Cell Using Magnetorheological Materials for Robot-Assisted Minimally Invasive Surgery.,Yu-Jin Park
A Novel Deep Learning Network via Multiscale Inner Product With Locally Connected Feature Extraction for Intelligent Fault Detection.,Jinglong Chen
A Novel Deep Learning Network via Multiscale Inner Product With Locally Connected Feature Extraction for Intelligent Fault Detection.,Shuilong He
A Novel Deep Learning Network via Multiscale Inner Product With Locally Connected Feature Extraction for Intelligent Fault Detection.,Tongyang Pan
A Novel Deep Learning Network via Multiscale Inner Product With Locally Connected Feature Extraction for Intelligent Fault Detection.,Zitong Zhou
Secret sharing schemes from binary linear codes.,Ting Xue
Secret sharing schemes from binary linear codes.,Zhihui Li
Ethical decision making: Improving the quality of acceptable use policies.,M. Warren
Ethical decision making: Improving the quality of acceptable use policies.,Sean B. Maynard
Depicting Educational Content Repurposing Context and Inheritance.,Nikolas Dovrolis
Depicting Educational Content Repurposing Context and Inheritance.,Panagiotis D. Bamidis
Depicting Educational Content Repurposing Context and Inheritance.,Stathis Th. Konstantinidis
"Detection and computation of conservative kernels of models consisting of freeform curves and surfaces, using inequality constraints.",Q. Youn Hong
The development of performance-monitoring function in the posterior medial frontal cortex.,Kate Dimond Fitzgerald
The development of performance-monitoring function in the posterior medial frontal cortex.,Mike Angstadt
The development of performance-monitoring function in the posterior medial frontal cortex.,Robert C. Welsh
The development of performance-monitoring function in the posterior medial frontal cortex.,Stephan F. Taylor
The development of performance-monitoring function in the posterior medial frontal cortex.,Suzanne C. Perkins
The development of performance-monitoring function in the posterior medial frontal cortex.,Timothy Johnson
Driver's Head Pose and Gaze Zone Estimation Based on Multi-Zone Templates Registration and Multi-Frame Point Cloud Fusion.,Xianping Fu
Driver's Head Pose and Gaze Zone Estimation Based on Multi-Zone Templates Registration and Multi-Frame Point Cloud Fusion.,Yafei Wang
A New Method for CDMA Signal Modeling in Nonlinear Systems.,Khalil Mafinejad
A New Method for CDMA Signal Modeling in Nonlinear Systems.,Sayyed Hosain Keshmiri
Information Technology Infrastructures and Knowledge Management: Towards Organizational Excellence.,Nasir Ahoorani
Information Technology Infrastructures and Knowledge Management: Towards Organizational Excellence.,Nour-Mohammad Yaghoubi
Information Technology Infrastructures and Knowledge Management: Towards Organizational Excellence.,Seyyed Ali Banihashemi
Efficient Beamforming Training for 60-GHz Millimeter-Wave Communications: A Novel Numerical Optimization Framework.,Bin Li 0002
Efficient Beamforming Training for 60-GHz Millimeter-Wave Communications: A Novel Numerical Optimization Framework.,Haijun Zhang 0001
Efficient Beamforming Training for 60-GHz Millimeter-Wave Communications: A Novel Numerical Optimization Framework.,Zheng Zhou 0001
Multicopter With Series Connected Propeller Drives.,Florian Bauer
Multicopter With Series Connected Propeller Drives.,Keyue Ma Smedley
Multicopter With Series Connected Propeller Drives.,Ralph M. Kennel
Computing partial DFT for comb spectrum evaluation.,Shousheng He
Real-Time Path Generation and Obstacle Avoidance for Multirotors: A Novel Approach.,Carmine Tommaso Recchiuto
Real-Time Path Generation and Obstacle Avoidance for Multirotors: A Novel Approach.,Phuong D. H. Nguyen
Dual Computation of Projective Shape and Camera Positions from Multiple Images.,Stefan Carlsson
Cutting Tools Assignment and Control Using Neutrosophic Case-Based Reasoning and Best Worst Method.,Glen Bright
Investigating the Impact of Entrepreneurship Online Teaching on Science and Technology Degrees on Students Attitudes in Developing Economies: The Case of Egypt.,Paul Radway
Investigating the Impact of Entrepreneurship Online Teaching on Science and Technology Degrees on Students Attitudes in Developing Economies: The Case of Egypt.,Simon O'Leary
Fast and Accurate Automatic Registration for MR-Guided Procedures Using Active Microcoils.,Arya Nabavi
Fast and Accurate Automatic Registration for MR-Guided Procedures Using Active Microcoils.,Holger Timinger
Fast and Accurate Automatic Registration for MR-Guided Procedures Using Active Microcoils.,Martin Bublat
Fast and Accurate Automatic Registration for MR-Guided Procedures Using Active Microcoils.,Sascha Krüger
Fast and Accurate Automatic Registration for MR-Guided Procedures Using Active Microcoils.,Stephan Wolff
Fast and Accurate Automatic Registration for MR-Guided Procedures Using Active Microcoils.,Tobias Schaeffter
Parallel hybridization of differential evolution and particle swarm optimization for constrained optimization with its application.,Raghav Prasad Parouha
Neural network-based variable structure control for nonlinear discrete systems.,Stephen A. Billings
Neural network-based variable structure control for nonlinear discrete systems.,Visakan Kadirkamanathan
Non-standard situation detection in smart water metering.,Frantisek Jakab
Non-standard situation detection in smart water metering.,Miroslav Michalko
Non-standard situation detection in smart water metering.,Ondrej Kainz
Non-standard situation detection in smart water metering.,R. Petija
Dealing with Uncertainty in Situation-aware Computing System.,Dayou Liu
Dealing with Uncertainty in Situation-aware Computing System.,Sheng-sheng Wang
"Generating an image that affords slant perception from stereo, without pictorial cues.",J. Wang
"Generating an image that affords slant perception from stereo, without pictorial cues.",John M. Galeotti
"Generating an image that affords slant perception from stereo, without pictorial cues.",Kori Macdonald
"Generating an image that affords slant perception from stereo, without pictorial cues.",Roberta L. Klatzky
"Generating an image that affords slant perception from stereo, without pictorial cues.",Samantha Horvath
"A column generation based heuristic for sensor placement, activity scheduling and data routing in wireless sensor networks.",I. Kuban Altinel
"A column generation based heuristic for sensor placement, activity scheduling and data routing in wireless sensor networks.",Necati Aras
"A column generation based heuristic for sensor placement, activity scheduling and data routing in wireless sensor networks.",Yavuz Bogaç Türkogullari
Guest Editorial.,David Bannon
Identification of the origin of tumor in vein: comparison between CEUS LI-RADS v2017 and v2016 for patients at high risk.,Hui Huang
Identification of the origin of tumor in vein: comparison between CEUS LI-RADS v2017 and v2016 for patients at high risk.,Jia-min Pan
Identification of the origin of tumor in vein: comparison between CEUS LI-RADS v2017 and v2016 for patients at high risk.,Man-xia Lin
Identification of the origin of tumor in vein: comparison between CEUS LI-RADS v2017 and v2016 for patients at high risk.,Mei-qing Cheng
Identification of the origin of tumor in vein: comparison between CEUS LI-RADS v2017 and v2016 for patients at high risk.,Ming Kuang
Identification of the origin of tumor in vein: comparison between CEUS LI-RADS v2017 and v2016 for patients at high risk.,Ming-De Lu
Identification of the origin of tumor in vein: comparison between CEUS LI-RADS v2017 and v2016 for patients at high risk.,Wei Wang
Identification of the origin of tumor in vein: comparison between CEUS LI-RADS v2017 and v2016 for patients at high risk.,Wen-juan Tong
Identification of the origin of tumor in vein: comparison between CEUS LI-RADS v2017 and v2016 for patients at high risk.,Xiao-Yan Xie
Identification of the origin of tumor in vein: comparison between CEUS LI-RADS v2017 and v2016 for patients at high risk.,Yang Huang
Identification of the origin of tumor in vein: comparison between CEUS LI-RADS v2017 and v2016 for patients at high risk.,Ying Wang
Data Science and Artificial Intelligence for Communications.,Kwang-Cheng Chen
Data Science and Artificial Intelligence for Communications.,Shui Yu 0001
Speaker adaptation based on judge neural networks for real world implementations of Voice-Command systems.,Hoon Kim
Speaker adaptation based on judge neural networks for real world implementations of Voice-Command systems.,Jae-Hoon Jeong
Speaker adaptation based on judge neural networks for real world implementations of Voice-Command systems.,Soo-Young Lee
Lustre I/O performance investigations on Hazel Hen: experiments and heuristics.,Henrik Hierl
Lustre I/O performance investigations on Hazel Hen: experiments and heuristics.,Johannes Hötzer
Lustre I/O performance investigations on Hazel Hen: experiments and heuristics.,Marco Seiz
Lustre I/O performance investigations on Hazel Hen: experiments and heuristics.,Michael Resch 0001
Lustre I/O performance investigations on Hazel Hen: experiments and heuristics.,Philipp Offenhäuser
Lustre I/O performance investigations on Hazel Hen: experiments and heuristics.,Stefan Andersson
Real-time work-in-progress management for smart object-enabled ubiquitous shop-floor environment.,Oscar Ho
Real-time work-in-progress management for smart object-enabled ubiquitous shop-floor environment.,Ting Qu
Real-time work-in-progress management for smart object-enabled ubiquitous shop-floor environment.,Yingfeng Zhang
Geophysical tomography by viscoacoustic asymptotic waveform inversion of ultrasonic laboratory data.,Dominique Gibert
Geophysical tomography by viscoacoustic asymptotic waveform inversion of ultrasonic laboratory data.,Henri-Pierre Valero
Geophysical tomography by viscoacoustic asymptotic waveform inversion of ultrasonic laboratory data.,Jean Virieux
Geophysical tomography by viscoacoustic asymptotic waveform inversion of ultrasonic laboratory data.,Stéphane Operto
Input-output identification of controlled discrete manufacturing systems.,Ernesto López-Mellado
Input-output identification of controlled discrete manufacturing systems.,Jean-Jacques Lesage
Three-Dimensional Stable Matching Problems.,Daniel S. Hirschberg
Modifications and implementation of the ellipsoid algorithm for linear programming.,Michael J. Todd
Fitness-Aware Coded Multicasting for Decentralized Caching With Finite File Packetization.,Naifu Zhang
Whole Cell Biosensor Using ,Salmijah Surif
Whole Cell Biosensor Using ,Yook Heng Lee
The SWISS-PROT protein sequence data bank and its supplement TrEMBL in 1999.,Rolf Apweiler
On Sums of Consecutive Integral Roots.,Pingzhi Yuan
Generative adversarial network-enabled learning scheme for power grid vulnerability analysis.,Guoshi Wang
Generative adversarial network-enabled learning scheme for power grid vulnerability analysis.,Ning Chen
Generative adversarial network-enabled learning scheme for power grid vulnerability analysis.,Tao Ye
Generative adversarial network-enabled learning scheme for power grid vulnerability analysis.,Xiaohui Yuan 0001
Generative adversarial network-enabled learning scheme for power grid vulnerability analysis.,Ying Liu
Generative adversarial network-enabled learning scheme for power grid vulnerability analysis.,Yingbin Zhang
Generative adversarial network-enabled learning scheme for power grid vulnerability analysis.,Zhi Xiang Zeng
Product-Service Systems Engineering: State of the art and research challenges.,Sergio Cavalieri
Research and application of biological potency soft sensor modeling method in the industrial fed-batch chlortetracycline fermentation process.,Ni Du
Research and application of biological potency soft sensor modeling method in the industrial fed-batch chlortetracycline fermentation process.,Qiao-yan Sun
Research and application of biological potency soft sensor modeling method in the industrial fed-batch chlortetracycline fermentation process.,Xiang-guang Chen
Research and application of biological potency soft sensor modeling method in the industrial fed-batch chlortetracycline fermentation process.,Yu-mei Sun
Visual Saliency Models Applied to ROI Detection for Brain MR Images: A Critical Appraisal and Future Prospects.,Savita Gupta
Visual Saliency Models Applied to ROI Detection for Brain MR Images: A Critical Appraisal and Future Prospects.,Sukhwinder Singh
A Voting Aggregation Algorithm for Optimal Social Satisfaction.,Junwu Zhu
A Voting Aggregation Algorithm for Optimal Social Satisfaction.,Ling Teng
A Voting Aggregation Algorithm for Optimal Social Satisfaction.,Yi Jiang 0004
Where Is the Beat? The Neural Correlates of Lexical Stress and Rhythmical Well-formedness in Auditory Story Comprehension.,Ina Bornkessel-Schlesewsky
Where Is the Beat? The Neural Correlates of Lexical Stress and Rhythmical Well-formedness in Auditory Story Comprehension.,Karen Henrich
Where Is the Beat? The Neural Correlates of Lexical Stress and Rhythmical Well-formedness in Auditory Story Comprehension.,Katerina D. Kandylaki
Where Is the Beat? The Neural Correlates of Lexical Stress and Rhythmical Well-formedness in Auditory Story Comprehension.,Matthias Schlesewsky
Where Is the Beat? The Neural Correlates of Lexical Stress and Rhythmical Well-formedness in Auditory Story Comprehension.,Richard Wiese
Where Is the Beat? The Neural Correlates of Lexical Stress and Rhythmical Well-formedness in Auditory Story Comprehension.,Tilo Kircher
Where Is the Beat? The Neural Correlates of Lexical Stress and Rhythmical Well-formedness in Auditory Story Comprehension.,Ulrike Domahs
Model-based decision support for optimal brochure pricing: applying advanced analytics in the tour operating industry.,Claudius Steinhardt
Model-based decision support for optimal brochure pricing: applying advanced analytics in the tour operating industry.,Robert Klein
Adaptive threshold estimation via extreme value theory.,Rama Chellappa
Node Similarity Top-k Query of the Large-Scale Dynamic Graph With Weak Repeated Path Constraint.,Junlu Wang
Node Similarity Top-k Query of the Large-Scale Dynamic Graph With Weak Repeated Path Constraint.,YuLong Song
Optimal Control Problems of Fully Coupled FBSDEs and Viscosity Solutions of Hamilton-Jacobi-Bellman Equations.,Qingmeng Wei
DNAS: Decoupling Neural Architecture Search for High-Resolution Remote Sensing Image Semantic Segmentation.,Wei Chen 0089
DNAS: Decoupling Neural Architecture Search for High-Resolution Remote Sensing Image Semantic Segmentation.,Yansheng Li 0001
DNAS: Decoupling Neural Architecture Search for High-Resolution Remote Sensing Image Semantic Segmentation.,Yu Wang
DNAS: Decoupling Neural Architecture Search for High-Resolution Remote Sensing Image Semantic Segmentation.,Yunzhou Li
Real-Time Vehicle Maneuvering Detection With Digital Compass.,Sooksan Panichpapiboon
Hardware Implementation of Hierarchical Temporal Memory Algorithm.,Paul D. Franzon
Hardware Implementation of Hierarchical Temporal Memory Algorithm.,Sumon Dey
Hardware Implementation of Hierarchical Temporal Memory Algorithm.,Weifu Li
Space vector pulse-width modulation theory and solution for Z-source inverters with maximum constant boost control.,Kun Yu
Space vector pulse-width modulation theory and solution for Z-source inverters with maximum constant boost control.,Miao Zhu
Space vector pulse-width modulation theory and solution for Z-source inverters with maximum constant boost control.,Xu Cai
Recurrence relations for distributions of a skew-t and a linear combination of order statistics from a bivariate-t.,Mohsen Khosravi
Recurrence relations for distributions of a skew-t and a linear combination of order statistics from a bivariate-t.,Narayanaswamy Balakrishnan 0001
Software Optimization of Video Codecs on Pentium Processor with MMX Technology.,Pohsiang Hsu
Dynamic and multi-source semantic annotation of raw mobility data using geographic and social media data.,Thouraya Sakouhi
"Detecting Areas Vulnerable to Sand Encroachment Using Remote Sensing and GIS Techniques in Nouakchott, Mauritania.",Diego Gómez
"Detecting Areas Vulnerable to Sand Encroachment Using Remote Sensing and GIS Techniques in Nouakchott, Mauritania.",Jose Luis Casanova
"Detecting Areas Vulnerable to Sand Encroachment Using Remote Sensing and GIS Techniques in Nouakchott, Mauritania.",Julia Sanz 0001
"Detecting Areas Vulnerable to Sand Encroachment Using Remote Sensing and GIS Techniques in Nouakchott, Mauritania.",Pablo Salvador
Understanding leaves in natural images - A model-based approach for tree species identification.,Didier Coquin
Understanding leaves in natural images - A model-based approach for tree species identification.,Guillaume Cerutti
Understanding leaves in natural images - A model-based approach for tree species identification.,Julien Mille
Understanding leaves in natural images - A model-based approach for tree species identification.,Laure Tougne
Fostering Entrepreneurship: Promoting Founding or Funding?,Veikko Thiele
Rice crop mapping and monitoring using ERS-1 data based on experiment and modeling results.,Jin Au Kong
Rice crop mapping and monitoring using ERS-1 data based on experiment and modeling results.,Kung-Hau Ding
Rice crop mapping and monitoring using ERS-1 data based on experiment and modeling results.,Li-Fang Wang
Rice crop mapping and monitoring using ERS-1 data based on experiment and modeling results.,Masaharu Fujita
Rice crop mapping and monitoring using ERS-1 data based on experiment and modeling results.,Nicolas Floury
Rice crop mapping and monitoring using ERS-1 data based on experiment and modeling results.,Takashi Kurosu
Rice crop mapping and monitoring using ERS-1 data based on experiment and modeling results.,Thuy Le Toan
Efficient Subwindow Search: A Branch and Bound Framework for Object Localization.,Matthew B. Blaschko
Efficient Subwindow Search: A Branch and Bound Framework for Object Localization.,Thomas Hofmann
3DmFV: Three-Dimensional Point Cloud Classification in Real-Time Using Convolutional Neural Networks.,Michael Lindenbaum
3DmFV: Three-Dimensional Point Cloud Classification in Real-Time Using Convolutional Neural Networks.,Yizhak Ben-Shabat
Force Generation by Parallel Combinations of Fiber-Reinforced Fluid-Driven Actuators.,C. David Remy
Force Generation by Parallel Combinations of Fiber-Reinforced Fluid-Driven Actuators.,Daniel Bruder
Force Generation by Parallel Combinations of Fiber-Reinforced Fluid-Driven Actuators.,Ram Vasudevan
A theory of multi-channel schedulers for quality of service.,Miaohua Lin
Potential Application of h-BNC Structures in SERS and SEHRS Spectroscopies: A Theoretical Perspective.,Marta Queizán
Potential Application of h-BNC Structures in SERS and SEHRS Spectroscopies: A Theoretical Perspective.,Nicolás Otero
Potential Application of h-BNC Structures in SERS and SEHRS Spectroscopies: A Theoretical Perspective.,Sara Gil-Guerrero
EmotionMeter: A Multimodal Framework for Recognizing Human Emotions.,Bao-Liang Lu
EmotionMeter: A Multimodal Framework for Recognizing Human Emotions.,Wei Liu 0078
EmotionMeter: A Multimodal Framework for Recognizing Human Emotions.,Wei-Long Zheng
EmotionMeter: A Multimodal Framework for Recognizing Human Emotions.,Yifei Lu
Area-Efficient Embedded Resistive RAM (ReRAM) Macros Using Logic-Process Vertical-Parasitic-BJT (VPBJT) Switches and Read-Disturb-Free Temperature-Aware Current-Mode Read Scheme.,Chorng-Jung Lin
Area-Efficient Embedded Resistive RAM (ReRAM) Macros Using Logic-Process Vertical-Parasitic-BJT (VPBJT) Switches and Read-Disturb-Free Temperature-Aware Current-Mode Read Scheme.,Frederick T. Chen
Area-Efficient Embedded Resistive RAM (ReRAM) Macros Using Logic-Process Vertical-Parasitic-BJT (VPBJT) Switches and Read-Disturb-Free Temperature-Aware Current-Mode Read Scheme.,Jui-Jen Wu
Area-Efficient Embedded Resistive RAM (ReRAM) Macros Using Logic-Process Vertical-Parasitic-BJT (VPBJT) Switches and Read-Disturb-Free Temperature-Aware Current-Mode Read Scheme.,Meng-Fan Chang
Area-Efficient Embedded Resistive RAM (ReRAM) Macros Using Logic-Process Vertical-Parasitic-BJT (VPBJT) Switches and Read-Disturb-Free Temperature-Aware Current-Mode Read Scheme.,Ming-Jinn Tsai
Area-Efficient Embedded Resistive RAM (ReRAM) Macros Using Logic-Process Vertical-Parasitic-BJT (VPBJT) Switches and Read-Disturb-Free Temperature-Aware Current-Mode Read Scheme.,Shyh-Shyuan Sheu
Area-Efficient Embedded Resistive RAM (ReRAM) Macros Using Logic-Process Vertical-Parasitic-BJT (VPBJT) Switches and Read-Disturb-Free Temperature-Aware Current-Mode Read Scheme.,Tzu-Kun Ku
Area-Efficient Embedded Resistive RAM (ReRAM) Macros Using Logic-Process Vertical-Parasitic-BJT (VPBJT) Switches and Read-Disturb-Free Temperature-Aware Current-Mode Read Scheme.,Ya-Chin King
Area-Efficient Embedded Resistive RAM (ReRAM) Macros Using Logic-Process Vertical-Parasitic-BJT (VPBJT) Switches and Read-Disturb-Free Temperature-Aware Current-Mode Read Scheme.,Yu-Der Chih
A Parallel Architecture for Discrete Relaxation Algorithm.,Thomas C. Henderson
A Parallel Architecture for Discrete Relaxation Algorithm.,Wei Wang
Data abstractions for decision tree induction.,Yoshiaki Okubo
Data abstractions for decision tree induction.,Yoshimitsu Kudoh
Influence and Information Flow in Online Social Networks.,Mehran Asadi
Effect of Traps on the Performance of Nanowire Si Junctionless Tunnel FET.,Shibir Basak
Fuzzy Control for Chaotic Confliction Model.,Jin Hee Yoon
Fuzzy Control for Chaotic Confliction Model.,Youngchul Bae
SPINGO: a rapid species-classifier for microbial amplicon sequences.,Guy Allard
SPINGO: a rapid species-classifier for microbial amplicon sequences.,Ian B. Jeffery
SPINGO: a rapid species-classifier for microbial amplicon sequences.,Marcus J. Claesson
A Petri net based deadlock prevention policy for flexible manufacturing systems.,Joaquín Ezpeleta
A Petri net based deadlock prevention policy for flexible manufacturing systems.,José Manuel Colom
Kernel sparse representation based classification.,Wankou Yang
Kernel sparse representation based classification.,Zhong Jin
Kernel sparse representation based classification.,Zhonghua Liu
The Architecture of Virtual Machines.,Ravi Nair
A method for predictive performance of distributed programs.,Nicola Mazzocca
A method for predictive performance of distributed programs.,Stefano Russo
A method for predictive performance of distributed programs.,Valeria Vittorini
"Wireless Network Virtualization With SDN and C-RAN for 5G Networks: Requirements, Opportunities, and Challenges.",Edvin Jonathan Kitindi
"Wireless Network Virtualization With SDN and C-RAN for 5G Networks: Requirements, Opportunities, and Challenges.",Shu Fu
"Wireless Network Virtualization With SDN and C-RAN for 5G Networks: Requirements, Opportunities, and Challenges.",Ying Wang 0002
"Wireless Network Virtualization With SDN and C-RAN for 5G Networks: Requirements, Opportunities, and Challenges.",Yunjian Jia
Late pregnancy analysis with Yunban's remote fetal monitoring system.,Huihui Wang 0001
Late pregnancy analysis with Yunban's remote fetal monitoring system.,Jianqiang Li 0001
Late pregnancy analysis with Yunban's remote fetal monitoring system.,Lie Li
Late pregnancy analysis with Yunban's remote fetal monitoring system.,Qiuping Wang
Late pregnancy analysis with Yunban's remote fetal monitoring system.,Weihua Yang
A Survey of Automatic Query Expansion in Information Retrieval.,Giovanni Romano 0002
GGSA: A Grouping Gravitational Search Algorithm for data clustering.,Mohammad Bagher Dowlatshahi
Linear Characteristic Analysis of High-Resolution Counter-Based Frequency Detector in Type-I Digital PLL.,Ramesh Harjani
Linear Characteristic Analysis of High-Resolution Counter-Based Frequency Detector in Type-I Digital PLL.,Taehyoun Oh
An Epsilon Constraint Method for selecting Indicators for use in Neural Networks for Stock Market Forecasting.,Hazim El-Baz
An Epsilon Constraint Method for selecting Indicators for use in Neural Networks for Stock Market Forecasting.,Mohamed Amer
Kinematics and performances Analysis of a Novel Hybrid welding robot.,Haibo Qu
Kinematics and performances Analysis of a Novel Hybrid welding robot.,Qi Zou
Kinematics and performances Analysis of a Novel Hybrid welding robot.,Sheng Guo 0001
Multi-path dilated convolution network for haze and glow removal in nighttime images.,K. R. Rao 0001
Multi-path dilated convolution network for haze and glow removal in nighttime images.,Monalisa Bilas
